,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
11,0.002,0.012,0.007,0.005,0.009,0.003,0.004,0.008,0.002,0.006,0.0,0.002,0.004,0.002,0.007,0.003,0.002,0.017,0.019,0.003,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0.026,0.007,0.001,0.005,0.004,0.012,0.023,0.011,0.003,0.002,0.0,0.011,0.005,0.014,0.006,0.014,0.003,0.004,0.005,0.007,0.002,0.007,0.019,0.502,0.003
12,0.018,0.038,0.043,0.203,0.007,0.062,1.233,0.136,0.042,0.156,1.002,0.001,1.226,0.026,0.021,1.134,0.001,1.643,2.293,0.054,0.11,0.207,0.623,0.096,0.27,0.052,0.219,0.047,0.892,0.173,0.352,0.038,0.299,0.013,0.468,0.317,0.001,0.162,0.041,0.025,0.005,0.226,0.755,0.021,0.206,0.745,0.464,0.001,0.021,2.275,1.182,0.124
13,0.021,0.065,0.165,0.114,0.0,0.004,1.121,0.019,0.002,0.167,1.042,0.017,1.082,0.027,0.025,1.226,0.015,1.624,2.454,0.355,0.247,0.56,0.085,0.032,0.004,0.009,0.039,0.239,0.19,0.068,0.036,0.075,0.087,0.206,0.476,0.301,0.008,0.285,0.029,0.04,0.082,0.026,0.08,0.023,0.064,0.739,0.215,0.017,0.025,3.689,0.223,0.153
14,0.004,0.008,0.005,0.002,0.007,0.002,0.002,0.007,0.003,0.012,0.002,0.008,0.001,0.004,0.003,0.004,0.0,0.006,0.008,0.008,0.008,0.01,0.001,0.001,0.0,0.001,0.002,0.063,0.002,0.007,0.0,0.003,0.003,0.074,0.004,0.004,0.002,0.004,0.007,0.015,0.009,0.007,0.007,0.004,0.001,0.006,0.01,0.008,0.003,0.008,0.107,0.001
15,0.002,0.016,0.013,0.004,0.003,0.001,0.026,0.005,0.006,0.011,0.03,0.001,0.025,0.012,0.009,0.025,0.006,0.008,0.022,0.013,0.007,0.014,0.001,0.002,0.008,0.002,0.002,0.01,0.016,0.002,0.016,0.01,0.002,0.008,0.028,0.011,0.006,0.003,0.008,0.024,0.008,0.008,0.012,0.002,0.006,0.018,0.015,0.001,0.009,0.02,0.009,0.003
16,0.007,0.016,0.007,0.0,0.002,0.01,0.038,0.001,0.002,0.015,0.036,0.004,0.036,0.009,0.001,0.04,0.0,0.039,0.057,0.004,0.011,0.015,0.004,0.015,0.017,0.0,0.005,0.021,0.006,0.004,0.02,0.013,0.007,0.013,0.04,0.011,0.011,0.001,0.005,0.001,0.001,0.012,0.009,0.006,0.001,0.021,0.018,0.004,0.001,0.169,0.008,0.002
17,0.0,0.012,0.004,0.001,0.003,0.003,0.007,0.008,0.082,0.001,0.008,0.005,0.006,0.009,0.004,0.008,0.0,0.014,0.01,0.003,26.705,0.006,0.001,0.003,0.003,0.001,0.001,0.039,0.005,0.003,0.01,0.002,0.009,0.034,0.001,0.015,0.0,0.003,0.011,0.008,0.0,0.001,0.007,0.001,0.003,0.002,0.001,0.005,0.004,0.014,5.226,0.0
18,2.119,0.753,1.555,6.631,0.015,1.665,12.986,2.748,0.019,1.007,7.281,0.266,13.034,0.694,0.303,11.978,0.046,3.002,6.469,7.78,5.102,11.109,5.736,2.848,1.902,1.325,5.367,1.659,7.765,3.468,1.717,1.616,6.63,2.186,4.661,2.538,0.244,5.73,0.587,0.681,0.688,11.781,23.8,2.155,7.713,17.655,7.928,0.266,0.303,3.572,2.172,1.467
19,0.002,0.021,0.01,0.001,0.014,0.004,0.042,0.005,0.006,0.018,0.04,0.008,0.041,0.011,0.001,0.047,0.0,0.01,0.029,0.013,0.016,0.022,0.001,0.022,0.019,0.001,0.003,0.015,0.003,0.004,0.028,0.004,0.012,0.0,0.051,0.019,0.002,0.006,0.021,0.025,0.02,0.018,0.018,0.003,0.0,0.021,0.021,0.008,0.001,0.032,0.011,0.003
20,0.001,0.014,0.021,0.003,0.011,0.003,0.035,0.001,0.003,0.016,0.835,0.001,1.788,0.026,0.003,0.028,0.003,0.177,0.154,2.312,0.214,0.696,0.0,0.016,0.002,0.001,0.0,0.031,0.002,0.006,0.004,0.005,0.014,0.03,0.023,0.007,0.017,0.003,0.003,0.031,0.027,0.017,0.021,0.002,0.0,4.047,0.085,0.001,0.003,0.086,0.118,0.106
