,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
xmeas_11,0.466,-0.073,0.067,-0.361,0.017,-0.163,-0.939,0.128,0.053,0.449,1.0,-0.02,-0.93,0.039,0.097,-0.936,0.032,-0.131,-0.682,0.095,-0.06,0.611,0.469,0.534,-0.868,0.288,0.403,0.149,0.455,0.551,-0.861,0.282,0.473,0.229,0.949,0.911,0.005,-0.037,-0.081,-0.072,0.138,-0.467,-0.163,-0.399,-0.608,-0.239,0.706,-0.02,0.097,-0.368,-0.116,-0.311
xmeas_12,0.038,-0.089,-0.119,-0.091,-0.004,-0.073,-0.038,0.022,0.004,-0.036,-0.02,1.0,-0.044,0.087,0.028,-0.014,0.022,-0.004,0.02,-0.136,0.061,-0.04,-0.11,0.086,0.015,0.075,0.139,0.044,-0.112,0.08,0.024,0.1,0.135,0.034,0.0,-0.017,0.028,0.133,0.066,0.065,-0.07,-0.082,-0.121,0.088,-0.03,-0.049,-0.006,1.0,0.028,0.079,-0.009,0.018
xmeas_13,-0.496,0.157,0.025,0.504,-0.018,0.272,0.997,-0.21,-0.017,-0.342,-0.93,-0.044,1.0,-0.15,-0.15,0.974,-0.082,0.139,0.659,0.035,-0.025,-0.53,-0.372,-0.612,0.858,-0.379,-0.522,-0.259,-0.358,-0.625,0.839,-0.375,-0.583,-0.328,-0.936,-0.887,-0.028,-0.072,-0.021,0.022,-0.087,0.57,0.293,0.339,0.668,0.297,-0.654,-0.044,-0.15,0.277,0.141,0.309
xmeas_14,0.108,-0.177,-0.243,-0.209,-0.024,-0.157,-0.139,0.05,0.016,-0.043,0.039,0.087,-0.15,1.0,0.087,-0.087,0.055,-0.015,-0.008,-0.276,0.117,-0.034,-0.198,0.209,-0.026,0.175,0.314,0.097,-0.202,0.201,-0.006,0.225,0.311,0.086,0.068,0.03,0.06,0.276,0.131,0.126,-0.137,-0.21,-0.264,0.156,-0.095,-0.105,0.036,0.087,0.087,0.137,-0.024,-0.003
xmeas_15,0.081,-0.056,-0.044,-0.088,0.004,-0.053,-0.148,0.018,0.015,0.039,0.097,0.028,-0.15,0.087,1.0,-0.137,0.075,-0.071,-0.1,-0.054,0.027,0.08,0.009,0.117,-0.108,0.083,0.126,0.042,0.007,0.118,-0.101,0.092,0.131,0.045,0.109,0.095,0.02,0.075,0.036,0.026,-0.017,-0.105,-0.082,-0.016,-0.094,-0.052,0.09,0.028,1.0,-0.033,-0.019,-0.061
xmeas_16,-0.468,0.049,-0.121,0.402,-0.02,0.186,0.984,-0.173,-0.01,-0.353,-0.936,-0.014,0.974,-0.087,-0.137,1.0,-0.084,0.122,0.674,-0.183,0.049,-0.578,-0.56,-0.516,0.93,-0.29,-0.348,-0.267,-0.549,-0.54,0.921,-0.245,-0.414,-0.347,-0.944,-0.915,0.012,0.112,0.037,0.107,-0.185,0.475,0.132,0.489,0.654,0.229,-0.644,-0.014,-0.137,0.368,0.14,0.349
xmeas_17,0.041,-0.019,-0.05,0.063,0.008,0.06,-0.083,-0.133,0.026,0.056,0.032,0.022,-0.082,0.055,0.075,-0.084,1.0,0.019,0.004,0.028,-0.012,0.107,0.057,0.062,-0.09,0.001,0.033,0.03,0.055,0.083,-0.09,0.031,0.042,0.037,0.065,0.06,0.004,0.002,-0.011,0.002,0.001,-0.015,-0.006,-0.026,0.006,-0.016,0.057,0.022,0.075,0.01,-0.01,-0.481
xmeas_18,0.134,-0.071,-0.38,0.137,0.004,0.152,0.134,-0.401,0.017,-0.252,-0.131,-0.004,0.139,-0.015,-0.071,0.122,0.019,1.0,0.783,0.088,-0.056,-0.165,0.046,0.006,-0.012,-0.157,-0.085,0.379,0.047,0.076,-0.02,-0.07,-0.064,0.376,-0.102,-0.104,-0.034,-0.156,0.011,0.035,-0.017,0.153,0.022,0.225,0.185,0.085,-0.302,-0.004,-0.071,0.71,0.044,0.084
xmeas_19,-0.203,-0.069,-0.432,0.33,-0.009,0.202,0.665,-0.425,0.01,-0.441,-0.682,0.02,0.659,-0.008,-0.1,0.674,0.004,0.783,1.0,-0.094,0.018,-0.477,-0.335,-0.267,0.536,-0.26,-0.198,0.172,-0.33,-0.226,0.529,-0.153,-0.223,0.118,-0.652,-0.643,-0.0,0.046,0.095,0.124,-0.164,0.358,0.035,0.461,0.526,0.181,-0.633,0.02,-0.1,0.783,0.114,0.267
xmeas_20,-0.126,0.503,0.637,0.505,0.02,0.449,-0.011,-0.233,-0.028,0.148,0.095,-0.136,0.035,-0.276,-0.054,-0.183,0.028,0.088,-0.094,1.0,-0.353,0.334,0.876,-0.374,-0.385,-0.416,-0.754,0.013,0.886,-0.307,-0.435,-0.58,-0.722,0.074,0.122,0.212,-0.18,-0.828,-0.309,-0.368,0.431,0.357,0.645,-0.705,0.036,0.277,0.066,-0.136,-0.054,-0.374,0.008,-0.219
xmeas_21,0.064,-0.23,-0.21,-0.245,-0.005,-0.227,-0.009,0.141,-0.182,-0.054,-0.06,0.061,-0.025,0.117,0.027,0.049,-0.012,-0.056,0.018,-0.353,1.0,-0.164,-0.309,0.155,0.123,0.181,0.284,-0.003,-0.309,0.12,0.144,0.228,0.269,-0.029,-0.048,-0.085,0.063,0.295,0.116,0.134,-0.153,-0.164,-0.25,0.253,-0.037,-0.101,-0.013,0.061,0.027,0.139,-0.102,0.085
xmeas_22,0.216,0.128,0.235,0.063,0.021,0.148,-0.545,-0.117,0.068,0.493,0.611,-0.04,-0.53,-0.034,0.08,-0.578,0.107,-0.165,-0.477,0.334,-0.164,1.0,0.468,0.233,-0.563,0.022,0.037,-0.086,0.458,0.279,-0.577,0.007,0.094,-0.018,0.585,0.586,-0.038,-0.22,-0.225,-0.112,0.166,-0.23,0.002,-0.395,-0.293,-0.083,0.593,-0.04,0.08,-0.32,-0.037,-0.333
xmeas_23,0.107,0.389,0.551,0.27,0.027,0.311,-0.408,-0.161,-0.009,0.259,0.469,-0.11,-0.372,-0.198,0.009,-0.56,0.057,0.046,-0.335,0.876,-0.309,0.468,1.0,-0.107,-0.729,-0.225,-0.47,0.134,0.984,-0.045,-0.767,-0.374,-0.415,0.217,0.491,0.55,-0.151,-0.718,-0.258,-0.357,0.437,0.168,0.552,-0.786,-0.212,0.143,0.293,-0.11,0.009,-0.496,-0.053,-0.317
xmeas_24,0.356,-0.285,-0.288,-0.458,0.003,-0.279,-0.598,0.146,0.029,0.353,0.534,0.086,-0.612,0.209,0.117,-0.516,0.062,0.006,-0.267,-0.374,0.155,0.233,-0.107,1.0,-0.412,0.376,0.616,0.144,-0.121,0.826,-0.38,0.461,0.645,0.162,0.516,0.447,0.086,0.363,0.112,0.153,-0.137,-0.516,-0.48,0.07,-0.412,-0.287,0.533,0.086,0.117,0.113,-0.087,-0.098
xmeas_25,-0.423,-0.042,-0.135,0.201,-0.026,0.022,0.876,0.014,-0.024,-0.331,-0.868,0.015,0.858,-0.026,-0.108,0.93,-0.09,-0.012,0.536,-0.385,0.123,-0.563,-0.729,-0.412,1.0,-0.146,-0.196,-0.312,-0.721,-0.461,0.986,-0.099,-0.269,-0.399,-0.878,-0.861,0.042,0.225,0.061,0.15,-0.228,0.311,-0.042,0.588,0.548,0.134,-0.564,0.015,-0.108,0.353,0.121,0.351
xmeas_26,0.227,-0.243,-0.172,-0.508,-0.008,-0.387,-0.364,0.351,-0.014,0.038,0.288,0.075,-0.379,0.175,0.083,-0.29,0.001,-0.157,-0.26,-0.416,0.181,0.022,-0.225,0.376,-0.146,1.0,0.483,0.086,-0.228,0.344,-0.113,0.402,0.481,0.079,0.258,0.202,0.075,0.339,0.151,0.137,-0.133,-0.396,-0.365,0.129,-0.333,-0.232,0.21,0.075,0.083,0.008,-0.071,-0.028
xmeas_27,0.381,-0.492,-0.629,-0.615,-0.005,-0.445,-0.493,0.187,0.054,0.052,0.403,0.139,-0.522,0.314,0.126,-0.348,0.033,-0.085,-0.198,-0.754,0.284,0.037,-0.47,0.616,-0.196,0.483,1.0,0.15,-0.488,0.58,-0.146,0.64,0.942,0.139,0.378,0.27,0.167,0.788,0.288,0.333,-0.357,-0.604,-0.713,0.379,-0.37,-0.359,0.284,0.139,0.126,0.24,-0.075,0.012
xmeas_28,0.173,-0.192,-0.317,-0.263,0.006,-0.229,-0.26,-0.021,0.012,-0.663,0.149,0.044,-0.259,0.097,0.042,-0.267,0.03,0.379,0.172,0.013,-0.003,-0.086,0.134,0.144,-0.312,0.086,0.15,1.0,0.139,0.191,-0.303,0.1,0.166,0.964,0.155,0.142,0.002,0.004,0.459,0.007,0.02,-0.182,-0.147,-0.076,-0.206,-0.06,-0.422,0.044,0.042,0.257,-0.037,-0.036
xmeas_29,0.093,0.398,0.567,0.272,0.027,0.306,-0.395,-0.149,-0.012,0.245,0.455,-0.112,-0.358,-0.202,0.007,-0.549,0.055,0.047,-0.33,0.886,-0.309,0.458,0.984,-0.121,-0.721,-0.228,-0.488,0.139,1.0,-0.06,-0.759,-0.385,-0.435,0.221,0.475,0.537,-0.156,-0.737,-0.258,-0.364,0.445,0.178,0.565,-0.795,-0.209,0.149,0.278,-0.112,0.007,-0.499,-0.053,-0.315
xmeas_30,0.358,-0.266,-0.297,-0.391,0.005,-0.216,-0.612,0.063,0.035,0.374,0.551,0.08,-0.625,0.201,0.118,-0.54,0.083,0.076,-0.226,-0.307,0.12,0.279,-0.045,0.826,-0.461,0.344,0.58,0.191,-0.06,1.0,-0.433,0.43,0.616,0.216,0.539,0.475,0.079,0.321,0.107,0.139,-0.118,-0.5,-0.458,0.031,-0.396,-0.274,0.546,0.08,0.118,0.145,-0.08,-0.119
xmeas_31,-0.402,-0.07,-0.165,0.152,-0.027,-0.015,0.859,0.044,-0.024,-0.34,-0.861,0.024,0.839,-0.006,-0.101,0.921,-0.09,-0.02,0.529,-0.435,0.144,-0.577,-0.767,-0.38,0.986,-0.113,-0.146,-0.303,-0.759,-0.433,1.0,-0.062,-0.221,-0.392,-0.874,-0.863,0.052,0.272,0.084,0.169,-0.249,0.279,-0.082,0.616,0.528,0.115,-0.56,0.024,-0.101,0.369,0.117,0.358
xmeas_32,0.256,-0.407,-0.412,-0.453,-0.004,-0.348,-0.353,0.163,0.025,0.042,0.282,0.1,-0.375,0.225,0.092,-0.245,0.031,-0.07,-0.153,-0.58,0.228,0.007,-0.374,0.461,-0.099,0.402,0.64,0.1,-0.385,0.43,-0.062,1.0,0.643,0.088,0.261,0.193,0.127,0.522,0.192,0.206,-0.223,-0.43,-0.496,0.296,-0.252,-0.259,0.198,0.1,0.092,0.155,-0.056,0.016
xmeas_33,0.411,-0.489,-0.639,-0.598,-0.003,-0.42,-0.555,0.145,0.058,0.09,0.473,0.135,-0.583,0.311,0.131,-0.414,0.042,-0.064,-0.223,-0.722,0.269,0.094,-0.415,0.645,-0.269,0.481,0.942,0.166,-0.435,0.616,-0.221,0.643,1.0,0.164,0.454,0.343,0.165,0.769,0.271,0.328,-0.345,-0.622,-0.714,0.344,-0.395,-0.368,0.334,0.135,0.131,0.229,-0.079,-0.016
xmeas_34,0.2,-0.169,-0.283,-0.247,0.01,-0.202,-0.332,-0.042,0.014,-0.611,0.229,0.034,-0.328,0.086,0.045,-0.347,0.037,0.376,0.118,0.074,-0.029,-0.018,0.217,0.162,-0.399,0.079,0.139,0.964,0.221,0.216,-0.392,0.088,0.164,1.0,0.24,0.229,-0.006,-0.041,0.429,-0.017,0.052,-0.194,-0.123,-0.142,-0.242,-0.064,-0.359,0.034,0.045,0.21,-0.043,-0.072
xmeas_35,0.45,-0.066,0.05,-0.307,0.022,-0.116,-0.943,0.067,0.016,0.455,0.949,0.0,-0.936,0.068,0.109,-0.944,0.065,-0.102,-0.652,0.122,-0.048,0.585,0.491,0.516,-0.878,0.258,0.378,0.155,0.475,0.539,-0.874,0.261,0.454,0.24,1.0,0.942,-0.002,-0.071,-0.105,-0.068,0.14,-0.461,-0.163,-0.41,-0.587,-0.235,0.705,0.0,0.109,-0.341,-0.121,-0.321
xmeas_36,0.408,-0.017,0.138,-0.242,0.023,-0.07,-0.898,0.053,0.008,0.444,0.911,-0.017,-0.887,0.03,0.095,-0.915,0.06,-0.104,-0.643,0.212,-0.085,0.586,0.55,0.447,-0.861,0.202,0.27,0.142,0.537,0.475,-0.863,0.193,0.343,0.229,0.942,1.0,-0.017,-0.157,-0.131,-0.13,0.201,-0.395,-0.077,-0.461,-0.549,-0.194,0.671,-0.017,0.095,-0.381,-0.113,-0.326
xmeas_37,0.049,-0.107,-0.141,-0.091,-0.004,-0.072,-0.021,0.016,0.015,-0.016,0.005,0.028,-0.028,0.06,0.02,0.012,0.004,-0.034,-0.0,-0.18,0.063,-0.038,-0.151,0.086,0.042,0.075,0.167,0.002,-0.156,0.079,0.052,0.127,0.165,-0.006,-0.002,-0.017,1.0,0.201,0.076,0.084,-0.09,-0.084,-0.137,0.129,-0.015,-0.056,0.005,0.028,0.02,0.064,-0.001,0.032
xmeas_38,0.203,-0.462,-0.691,-0.422,-0.014,-0.33,-0.038,0.086,0.054,-0.115,-0.037,0.133,-0.072,0.276,0.075,0.112,0.002,-0.156,0.046,-0.828,0.295,-0.22,-0.718,0.363,0.225,0.339,0.788,0.004,-0.737,0.321,0.272,0.522,0.769,-0.041,-0.071,-0.157,0.201,1.0,0.39,0.397,-0.474,-0.381,-0.648,0.604,-0.068,-0.25,-0.017,0.133,0.075,0.338,-0.005,0.166
xmeas_39,0.106,-0.23,-0.329,-0.303,-0.006,-0.265,-0.009,0.118,0.015,-0.464,-0.081,0.066,-0.021,0.131,0.036,0.037,-0.011,0.011,0.095,-0.309,0.116,-0.225,-0.258,0.112,0.061,0.151,0.288,0.459,-0.258,0.107,0.084,0.192,0.271,0.429,-0.105,-0.131,0.076,0.39,1.0,0.138,-0.166,-0.156,-0.245,0.211,-0.08,-0.085,-0.333,0.066,0.036,0.183,-0.014,0.082
xmeas_40,0.06,-0.169,-0.373,-0.155,-0.006,-0.124,0.037,-0.0,0.026,-0.052,-0.072,0.065,0.022,0.126,0.026,0.107,0.002,0.035,0.124,-0.368,0.134,-0.112,-0.357,0.153,0.15,0.137,0.333,0.007,-0.364,0.139,0.169,0.206,0.328,-0.017,-0.068,-0.13,0.084,0.397,0.138,1.0,-0.297,-0.175,-0.342,0.311,-0.003,-0.106,-0.018,0.065,0.026,0.271,0.006,0.097
xmeas_41,-0.023,0.196,0.422,0.14,0.012,0.125,-0.105,0.013,-0.028,0.079,0.138,-0.07,-0.087,-0.137,-0.017,-0.185,0.001,-0.017,-0.164,0.431,-0.153,0.166,0.437,-0.137,-0.228,-0.133,-0.357,0.02,0.445,-0.118,-0.249,-0.223,-0.345,0.052,0.14,0.201,-0.09,-0.474,-0.166,-0.297,1.0,0.16,0.366,-0.368,-0.049,0.099,0.063,-0.07,-0.017,-0.303,-0.017,-0.126
xmv_1,-0.281,0.298,0.224,0.571,0.002,0.412,0.555,-0.339,0.001,-0.089,-0.467,-0.082,0.57,-0.21,-0.105,0.475,-0.015,0.153,0.358,0.357,-0.164,-0.23,0.168,-0.516,0.311,-0.396,-0.604,-0.182,0.178,-0.5,0.279,-0.43,-0.622,-0.194,-0.461,-0.395,-0.084,-0.381,-0.156,-0.175,0.16,1.0,0.786,-0.059,0.615,0.358,-0.411,-0.082,-0.105,-0.199,0.081,0.141
xmv_2,-0.159,0.402,0.547,0.505,0.01,0.407,0.264,-0.206,-0.024,0.062,-0.163,-0.121,0.293,-0.264,-0.082,0.132,-0.006,0.022,0.035,0.645,-0.25,0.002,0.552,-0.48,-0.042,-0.365,-0.713,-0.147,0.565,-0.458,-0.082,-0.496,-0.714,-0.123,-0.163,-0.077,-0.137,-0.648,-0.245,-0.342,0.366,0.786,1.0,-0.393,0.276,0.305,-0.163,-0.121,-0.082,-0.526,-0.003,-0.084
xmv_3,0.317,-0.349,-0.564,-0.275,-0.017,-0.168,0.367,-0.026,0.025,-0.222,-0.399,0.088,0.339,0.156,-0.016,0.489,-0.026,0.225,0.461,-0.705,0.253,-0.395,-0.786,0.07,0.588,0.129,0.379,-0.076,-0.795,0.031,0.616,0.296,0.344,-0.142,-0.41,-0.461,0.129,0.604,0.211,0.311,-0.368,-0.059,-0.393,1.0,0.18,-0.088,-0.281,0.088,-0.016,0.551,0.05,0.258
xmv_4,-0.446,0.067,-0.102,0.585,-0.004,0.352,0.667,-0.459,0.008,-0.143,-0.608,-0.03,0.668,-0.095,-0.094,0.654,0.006,0.185,0.526,0.036,-0.037,-0.293,-0.212,-0.412,0.548,-0.333,-0.37,-0.206,-0.209,-0.396,0.528,-0.252,-0.395,-0.242,-0.587,-0.549,-0.015,-0.068,-0.08,-0.003,-0.049,0.615,0.276,0.18,1.0,0.28,-0.471,-0.03,-0.094,0.169,0.178,0.246
xmv_5,-0.166,0.162,0.155,0.307,0.057,0.224,0.283,-0.174,-0.016,-0.067,-0.239,-0.049,0.297,-0.105,-0.052,0.229,-0.016,0.085,0.181,0.277,-0.101,-0.083,0.143,-0.287,0.134,-0.232,-0.359,-0.06,0.149,-0.274,0.115,-0.259,-0.368,-0.064,-0.235,-0.194,-0.056,-0.25,-0.085,-0.106,0.099,0.358,0.305,-0.088,0.28,1.0,-0.207,-0.049,-0.052,-0.049,0.042,0.063
xmv_6,0.298,0.059,0.233,-0.162,0.014,0.019,-0.657,0.119,0.014,0.899,0.706,-0.006,-0.654,0.036,0.09,-0.644,0.057,-0.302,-0.633,0.066,-0.013,0.593,0.293,0.533,-0.564,0.21,0.284,-0.422,0.278,0.546,-0.56,0.198,0.334,-0.359,0.705,0.671,0.005,-0.017,-0.333,-0.018,0.063,-0.411,-0.163,-0.281,-0.471,-0.207,1.0,-0.006,0.09,-0.331,-0.102,-0.278
xmv_7,0.038,-0.089,-0.119,-0.091,-0.004,-0.073,-0.038,0.022,0.004,-0.036,-0.02,1.0,-0.044,0.087,0.028,-0.014,0.022,-0.004,0.02,-0.136,0.061,-0.04,-0.11,0.086,0.015,0.075,0.139,0.044,-0.112,0.08,0.024,0.1,0.135,0.034,0.0,-0.017,0.028,0.133,0.066,0.065,-0.07,-0.082,-0.121,0.088,-0.03,-0.049,-0.006,1.0,0.028,0.079,-0.009,0.018
xmv_8,0.081,-0.056,-0.044,-0.088,0.004,-0.053,-0.148,0.018,0.015,0.039,0.097,0.028,-0.15,0.087,1.0,-0.137,0.075,-0.071,-0.1,-0.054,0.027,0.08,0.009,0.117,-0.108,0.083,0.126,0.042,0.007,0.118,-0.101,0.092,0.131,0.045,0.109,0.095,0.02,0.075,0.036,0.026,-0.017,-0.105,-0.082,-0.016,-0.094,-0.052,0.09,0.028,1.0,-0.033,-0.019,-0.061
xmv_9,-0.003,-0.264,-0.622,-0.068,-0.01,-0.074,0.294,-0.203,0.016,-0.345,-0.368,0.079,0.277,0.137,-0.033,0.368,0.01,0.71,0.783,-0.374,0.139,-0.32,-0.496,0.113,0.353,0.008,0.24,0.257,-0.499,0.145,0.369,0.155,0.229,0.21,-0.341,-0.381,0.064,0.338,0.183,0.271,-0.303,-0.199,-0.526,0.551,0.169,-0.049,-0.331,0.079,-0.033,1.0,0.061,0.209
xmv_10,-0.083,0.062,-0.028,0.124,-0.008,0.08,0.141,-0.104,0.224,-0.034,-0.116,-0.009,0.141,-0.024,-0.019,0.14,-0.01,0.044,0.114,0.008,-0.102,-0.037,-0.053,-0.087,0.121,-0.071,-0.075,-0.037,-0.053,-0.08,0.117,-0.056,-0.079,-0.043,-0.121,-0.113,-0.001,-0.005,-0.014,0.006,-0.017,0.081,-0.003,0.05,0.178,0.042,-0.102,-0.009,-0.019,0.061,1.0,0.101
xmv_11,-0.143,-0.092,-0.173,0.02,-0.011,-0.047,0.318,0.001,-0.008,-0.188,-0.311,0.018,0.309,-0.003,-0.061,0.349,-0.481,0.084,0.267,-0.219,0.085,-0.333,-0.317,-0.098,0.351,-0.028,0.012,-0.036,-0.315,-0.119,0.358,0.016,-0.016,-0.072,-0.321,-0.326,0.032,0.166,0.082,0.097,-0.126,0.141,-0.084,0.258,0.246,0.063,-0.278,0.018,-0.061,0.209,0.101,1.0
