origem,faultNumber,simulationRun,conjunto
Training,0,100,nao_usado_training
Training,0,373,nao_usado_training
Training,0,88,nao_usado_training
Training,0,459,nao_usado_training
Training,0,331,nao_usado_training
Training,0,215,nao_usado_training
Training,0,467,nao_usado_training
Training,0,122,nao_usado_training
Training,0,500,nao_usado_training
Training,0,21,nao_usado_training
Training,0,189,nao_usado_training
Training,0,72,nao_usado_training
Training,0,107,nao_usado_training
Training,0,271,nao_usado_training
Training,0,349,nao_usado_training
Training,0,436,nao_usado_training
Training,0,103,nao_usado_training
Training,1,307,treino
Training,1,450,treino
Training,1,124,treino
Training,1,195,treino
Training,1,67,treino
Training,1,395,treino
Training,1,431,treino
Training,1,346,treino
Training,1,499,treino
Training,1,238,treino
Training,1,320,treino
Training,1,68,treino
Training,1,180,treino
Training,1,473,treino
Training,1,495,treino
Training,1,469,treino
Training,1,77,treino
Training,1,485,treino
Training,1,313,treino
Training,1,297,treino
Training,1,131,treino
Training,1,356,treino
Training,1,155,treino
Training,1,125,treino
Training,1,189,treino
Training,1,175,treino
Training,1,362,treino
Training,1,358,treino
Training,1,412,treino
Training,1,460,treino
Training,1,24,treino
Training,1,31,treino
Training,1,266,treino
Training,1,263,treino
Training,1,354,treino
Training,1,207,treino
Training,1,89,treino
Training,1,295,treino
Training,1,128,treino
Training,1,199,treino
Training,1,255,treino
Training,1,232,treino
Training,1,121,treino
Training,1,244,treino
Training,1,439,treino
Training,1,424,treino
Training,1,438,treino
Training,1,108,treino
Training,1,374,treino
Training,1,329,treino
Training,1,127,treino
Training,1,497,treino
Training,1,40,treino
Training,1,399,treino
Training,1,315,treino
Training,1,120,treino
Training,1,234,treino
Training,1,60,treino
Training,1,225,treino
Training,1,159,treino
Training,1,97,treino
Training,1,116,treino
Training,1,334,treino
Training,1,496,treino
Training,1,261,treino
Training,1,274,treino
Training,1,416,treino
Training,1,71,treino
Training,1,139,treino
Training,1,311,treino
Training,1,464,treino
Training,1,402,treino
Training,1,198,treino
Training,1,157,treino
Training,1,353,treino
Training,1,64,treino
Training,1,15,treino
Training,1,176,treino
Training,1,18,treino
Training,1,222,treino
Training,1,208,treino
Training,1,432,treino
Training,1,158,treino
Training,1,260,treino
Training,1,137,treino
Training,1,278,treino
Training,1,2,treino
Training,1,88,treino
Training,1,289,treino
Training,1,87,treino
Training,1,436,treino
Training,1,443,treino
Training,1,294,treino
Training,1,298,treino
Training,1,270,treino
Training,1,185,treino
Training,1,332,treino
Training,1,169,treino
Training,1,366,treino
Training,1,293,treino
Training,1,150,validacao
Training,1,426,validacao
Training,1,204,validacao
Training,1,409,validacao
Training,1,130,validacao
Training,1,48,validacao
Training,1,245,validacao
Training,1,107,validacao
Training,1,94,validacao
Training,1,56,validacao
Training,1,243,validacao
Training,1,184,validacao
Training,1,246,validacao
Training,1,73,validacao
Training,1,241,validacao
Training,1,45,validacao
Training,1,135,validacao
Training,1,214,validacao
Training,1,49,validacao
Training,1,153,validacao
Training,1,267,validacao
Training,1,281,validacao
Training,1,393,validacao
Training,1,236,validacao
Training,1,140,validacao
Training,1,211,validacao
Training,1,491,validacao
Training,1,444,validacao
Training,1,22,validacao
Training,1,492,validacao
Training,1,304,validacao
Training,1,489,validacao
Training,1,21,validacao
Training,1,282,validacao
Training,1,352,validacao
Training,1,61,validacao
Training,1,451,validacao
Training,1,425,validacao
Training,1,383,validacao
Training,1,372,validacao
Training,1,104,validacao
Training,1,309,validacao
Training,1,433,validacao
Training,1,350,validacao
Training,1,200,validacao
Training,1,305,validacao
Training,1,111,validacao
Training,1,447,validacao
Training,1,466,validacao
Training,1,322,validacao
Training,1,388,nao_usado_training
Training,1,231,nao_usado_training
Training,1,218,nao_usado_training
Training,1,385,nao_usado_training
Training,1,407,nao_usado_training
Training,1,17,nao_usado_training
Training,1,360,nao_usado_training
Training,1,415,nao_usado_training
Training,1,138,nao_usado_training
Training,1,338,nao_usado_training
Training,1,348,nao_usado_training
Training,1,188,nao_usado_training
Training,1,81,nao_usado_training
Training,1,210,nao_usado_training
Training,1,106,nao_usado_training
Training,1,172,nao_usado_training
Training,1,171,nao_usado_training
Training,1,419,nao_usado_training
Training,1,390,nao_usado_training
Training,1,365,nao_usado_training
Training,1,79,nao_usado_training
Training,1,30,nao_usado_training
Training,1,452,nao_usado_training
Training,1,237,nao_usado_training
Training,1,316,nao_usado_training
Training,1,38,nao_usado_training
Training,1,166,nao_usado_training
Training,1,103,nao_usado_training
Training,1,441,nao_usado_training
Training,1,66,nao_usado_training
Training,1,142,nao_usado_training
Training,1,406,nao_usado_training
Training,1,479,nao_usado_training
Training,1,296,nao_usado_training
Training,1,112,nao_usado_training
Training,1,216,nao_usado_training
Training,1,378,nao_usado_training
Training,1,226,nao_usado_training
Training,1,291,nao_usado_training
Training,1,288,nao_usado_training
Training,1,50,nao_usado_training
Training,1,123,nao_usado_training
Training,1,290,nao_usado_training
Training,1,254,nao_usado_training
Training,1,333,nao_usado_training
Training,1,162,nao_usado_training
Training,1,154,nao_usado_training
Training,1,328,nao_usado_training
Training,1,72,nao_usado_training
Training,1,299,nao_usado_training
Training,1,92,nao_usado_training
Training,1,34,nao_usado_training
Training,1,32,nao_usado_training
Training,1,113,nao_usado_training
Training,1,193,nao_usado_training
Training,1,319,nao_usado_training
Training,1,494,nao_usado_training
Training,1,250,nao_usado_training
Training,1,308,nao_usado_training
Training,1,51,nao_usado_training
Training,1,454,nao_usado_training
Training,1,110,nao_usado_training
Training,1,271,nao_usado_training
Training,1,78,nao_usado_training
Training,1,490,nao_usado_training
Training,1,411,nao_usado_training
Training,1,83,nao_usado_training
Training,1,219,nao_usado_training
Training,1,467,nao_usado_training
Training,1,347,nao_usado_training
Training,1,381,nao_usado_training
Training,1,23,nao_usado_training
Training,1,375,nao_usado_training
Training,1,3,nao_usado_training
Training,1,102,nao_usado_training
Training,1,370,nao_usado_training
Training,1,461,nao_usado_training
Training,1,262,nao_usado_training
Training,1,209,nao_usado_training
Training,1,269,nao_usado_training
Training,1,6,nao_usado_training
Training,1,55,nao_usado_training
Training,1,306,nao_usado_training
Training,1,129,nao_usado_training
Training,1,488,nao_usado_training
Training,1,446,nao_usado_training
Training,1,98,nao_usado_training
Training,1,161,nao_usado_training
Training,1,205,nao_usado_training
Training,1,435,nao_usado_training
Training,1,27,nao_usado_training
Training,1,59,nao_usado_training
Training,1,86,nao_usado_training
Training,1,484,nao_usado_training
Training,1,63,nao_usado_training
Training,1,26,nao_usado_training
Training,1,85,nao_usado_training
Training,1,11,nao_usado_training
Training,1,400,nao_usado_training
Training,1,363,nao_usado_training
Training,1,287,nao_usado_training
Training,1,364,nao_usado_training
Training,1,470,nao_usado_training
Training,1,118,nao_usado_training
Training,1,478,nao_usado_training
Training,1,248,nao_usado_training
Training,1,119,nao_usado_training
Training,1,349,nao_usado_training
Training,1,251,nao_usado_training
Training,1,324,nao_usado_training
Training,1,10,nao_usado_training
Training,1,197,nao_usado_training
Training,1,256,nao_usado_training
Training,1,82,nao_usado_training
Training,1,359,nao_usado_training
Training,1,456,nao_usado_training
Training,1,46,nao_usado_training
Training,1,240,nao_usado_training
Training,1,276,nao_usado_training
Training,1,212,nao_usado_training
Training,1,201,nao_usado_training
Training,1,343,nao_usado_training
Training,1,430,nao_usado_training
Training,1,228,nao_usado_training
Training,1,41,nao_usado_training
Training,1,471,nao_usado_training
Training,1,28,nao_usado_training
Training,1,481,nao_usado_training
Training,1,459,nao_usado_training
Training,1,345,nao_usado_training
Training,1,449,nao_usado_training
Training,1,300,nao_usado_training
Training,1,351,nao_usado_training
Training,1,8,nao_usado_training
Training,1,156,nao_usado_training
Training,1,272,nao_usado_training
Training,1,421,nao_usado_training
Training,1,462,nao_usado_training
Training,1,382,nao_usado_training
Training,1,259,nao_usado_training
Training,1,54,nao_usado_training
Training,1,318,nao_usado_training
Training,1,143,nao_usado_training
Training,1,14,nao_usado_training
Training,1,403,nao_usado_training
Training,1,47,nao_usado_training
Training,1,20,nao_usado_training
Training,1,500,nao_usado_training
Training,1,429,nao_usado_training
Training,1,434,nao_usado_training
Training,1,229,nao_usado_training
Training,1,335,nao_usado_training
Training,1,203,nao_usado_training
Training,1,213,nao_usado_training
Training,1,80,nao_usado_training
Training,1,149,nao_usado_training
Training,1,303,nao_usado_training
Training,1,310,nao_usado_training
Training,1,486,nao_usado_training
Training,1,326,nao_usado_training
Training,1,465,nao_usado_training
Training,1,344,nao_usado_training
Training,1,134,nao_usado_training
Training,1,117,nao_usado_training
Training,1,312,nao_usado_training
Training,1,191,nao_usado_training
Training,1,422,nao_usado_training
Training,1,1,nao_usado_training
Training,1,317,nao_usado_training
Training,1,148,nao_usado_training
Training,1,58,nao_usado_training
Training,1,341,nao_usado_training
Training,1,220,nao_usado_training
Training,1,457,nao_usado_training
Training,1,440,nao_usado_training
Training,1,173,nao_usado_training
Training,1,126,nao_usado_training
Training,1,377,nao_usado_training
Training,1,401,nao_usado_training
Training,1,202,nao_usado_training
Training,1,91,nao_usado_training
Training,1,167,nao_usado_training
Training,1,182,nao_usado_training
Training,1,275,nao_usado_training
Training,1,252,nao_usado_training
Training,1,70,nao_usado_training
Training,1,292,nao_usado_training
Training,1,132,nao_usado_training
Training,1,301,nao_usado_training
Training,1,405,nao_usado_training
Training,1,327,nao_usado_training
Training,1,145,nao_usado_training
Training,1,404,nao_usado_training
Training,1,321,nao_usado_training
Training,1,136,nao_usado_training
Training,1,389,nao_usado_training
Training,1,165,nao_usado_training
Training,1,29,nao_usado_training
Training,1,5,nao_usado_training
Training,1,194,nao_usado_training
Training,1,371,nao_usado_training
Training,1,283,nao_usado_training
Training,1,170,nao_usado_training
Training,1,468,nao_usado_training
Training,1,141,nao_usado_training
Training,1,174,nao_usado_training
Training,1,7,nao_usado_training
Training,1,230,nao_usado_training
Training,1,458,nao_usado_training
Training,1,74,nao_usado_training
Training,1,9,nao_usado_training
Training,1,398,nao_usado_training
Training,1,239,nao_usado_training
Training,1,146,nao_usado_training
Training,1,331,nao_usado_training
Training,1,235,nao_usado_training
Training,1,221,nao_usado_training
Training,1,455,nao_usado_training
Training,1,480,nao_usado_training
Training,1,133,nao_usado_training
Training,1,122,nao_usado_training
Training,1,392,nao_usado_training
Training,1,186,nao_usado_training
Training,1,42,nao_usado_training
Training,1,181,nao_usado_training
Training,1,109,nao_usado_training
Training,1,39,nao_usado_training
Training,1,57,nao_usado_training
Training,1,387,nao_usado_training
Training,1,423,nao_usado_training
Training,1,53,nao_usado_training
Training,1,379,nao_usado_training
Training,1,25,nao_usado_training
Training,1,474,nao_usado_training
Training,1,69,nao_usado_training
Training,1,373,nao_usado_training
Training,1,144,nao_usado_training
Training,1,367,nao_usado_training
Training,1,339,nao_usado_training
Training,1,52,nao_usado_training
Training,1,487,nao_usado_training
Training,1,223,nao_usado_training
Training,1,206,nao_usado_training
Training,1,284,nao_usado_training
Training,1,265,nao_usado_training
Training,1,76,nao_usado_training
Training,1,233,nao_usado_training
Training,1,482,nao_usado_training
Training,1,100,nao_usado_training
Training,1,428,nao_usado_training
Training,1,19,nao_usado_training
Training,1,187,nao_usado_training
Training,1,463,nao_usado_training
Training,1,342,nao_usado_training
Training,1,414,nao_usado_training
Training,1,368,nao_usado_training
Training,1,84,nao_usado_training
Training,1,62,nao_usado_training
Training,1,448,nao_usado_training
Training,1,273,nao_usado_training
Training,1,286,nao_usado_training
Training,1,361,nao_usado_training
Training,1,355,nao_usado_training
Training,1,437,nao_usado_training
Training,1,279,nao_usado_training
Training,1,13,nao_usado_training
Training,1,183,nao_usado_training
Training,1,369,nao_usado_training
Training,1,472,nao_usado_training
Training,1,37,nao_usado_training
Training,1,224,nao_usado_training
Training,1,190,nao_usado_training
Training,1,151,nao_usado_training
Training,1,483,nao_usado_training
Training,1,498,nao_usado_training
Training,1,36,nao_usado_training
Training,1,99,nao_usado_training
Training,1,177,nao_usado_training
Training,1,227,nao_usado_training
Training,1,192,nao_usado_training
Training,1,408,nao_usado_training
Training,1,357,nao_usado_training
Training,1,394,nao_usado_training
Training,1,164,nao_usado_training
Training,1,249,nao_usado_training
Training,1,277,nao_usado_training
Training,1,217,nao_usado_training
Training,1,420,nao_usado_training
Training,1,376,nao_usado_training
Training,1,413,nao_usado_training
Training,1,75,nao_usado_training
Training,1,114,nao_usado_training
Training,1,314,nao_usado_training
Training,1,196,nao_usado_training
Training,1,391,nao_usado_training
Training,1,105,nao_usado_training
Training,1,115,nao_usado_training
Training,1,418,nao_usado_training
Training,1,453,nao_usado_training
Training,1,410,nao_usado_training
Training,1,93,nao_usado_training
Training,1,264,nao_usado_training
Training,1,90,nao_usado_training
Training,1,337,nao_usado_training
Training,1,215,nao_usado_training
Training,1,35,nao_usado_training
Training,1,242,nao_usado_training
Training,1,253,nao_usado_training
Training,1,386,nao_usado_training
Training,1,302,nao_usado_training
Training,1,95,nao_usado_training
Training,1,12,nao_usado_training
Training,1,397,nao_usado_training
Training,1,285,nao_usado_training
Training,1,44,nao_usado_training
Training,1,43,nao_usado_training
Training,1,330,nao_usado_training
Training,1,168,nao_usado_training
Training,1,477,nao_usado_training
Training,1,65,nao_usado_training
Training,1,323,nao_usado_training
Training,1,268,nao_usado_training
Training,1,101,nao_usado_training
Training,1,427,nao_usado_training
Training,1,179,nao_usado_training
Training,1,445,nao_usado_training
Training,1,417,nao_usado_training
Training,1,33,nao_usado_training
Training,1,380,nao_usado_training
Training,1,163,nao_usado_training
Training,1,178,nao_usado_training
Training,1,396,nao_usado_training
Training,1,152,nao_usado_training
Training,1,340,nao_usado_training
Training,1,475,nao_usado_training
Training,1,160,nao_usado_training
Training,1,384,nao_usado_training
Training,1,476,nao_usado_training
Training,1,258,nao_usado_training
Training,1,247,nao_usado_training
Training,1,336,nao_usado_training
Training,1,280,nao_usado_training
Training,1,16,nao_usado_training
Training,1,4,nao_usado_training
Training,1,493,nao_usado_training
Training,1,325,nao_usado_training
Training,1,257,nao_usado_training
Training,1,96,nao_usado_training
Training,1,442,nao_usado_training
Training,1,147,nao_usado_training
Training,2,116,treino
Training,2,268,treino
Training,2,28,treino
Training,2,422,treino
Training,2,472,treino
Training,2,258,treino
Training,2,470,treino
Training,2,460,treino
Training,2,456,treino
Training,2,436,treino
Training,2,79,treino
Training,2,274,treino
Training,2,91,treino
Training,2,102,treino
Training,2,260,treino
Training,2,219,treino
Training,2,48,treino
Training,2,77,treino
Training,2,473,treino
Training,2,185,treino
Training,2,183,treino
Training,2,239,treino
Training,2,248,treino
Training,2,30,treino
Training,2,209,treino
Training,2,367,treino
Training,2,276,treino
Training,2,52,treino
Training,2,352,treino
Training,2,188,treino
Training,2,340,treino
Training,2,277,treino
Training,2,50,treino
Training,2,195,treino
Training,2,58,treino
Training,2,360,treino
